"γ1","3.00×10-5","1.508×10-1","4.52×10-6",
"ce-K, γ1","4.35×10-5","1.240×10-1","5.39×10-6",
"ce-L, γ1","2.06×10-5","1.467×10-1a","3.03×10-6",
"ce-M, γ1","4.13×10-6","1.500×10-1a","6.21×10-7",
"γ2","9.06×10-1","1.712×10-1","1.55×10-1",
"ce-K, γ2","8.06×10-2","1.445×10-1","1.16×10-2",
"ce-L, γ2","9.97×10-3","1.672×10-1a","1.66×10-3",
"ce-M, γ2","1.90×10-3","1.705×10-1a","3.24×10-4",
"γ3","9.40×10-1","2.453×10-1","2.30×10-1",
"ce-K, γ3","4.94×10-2","2.186×10-1","1.08×10-2",
"ce-L, γ3","7.80×10-3","2.413×10-1a","1.88×10-3",
"ce-M, γ3","1.50×10-3","2.445×10-1a","3.68×10-4",
"L X-ray","6.77×10-2","3.130×10-3*","2.12×10-4",
"Kα2 X-ray","2.40×10-1","2.298×10-2","5.52×10-3",
"Kα1 X-ray","4.52×10-1","2.317×10-2","1.04×10-2",
"Kβ3 X-ray","3.91×10-2","2.606×10-2*","1.02×10-3",
"Kβ1 X-ray","7.55×10-2","2.609×10-2*","1.97×10-3",
"Kβ2 X-ray","1.94×10-2","2.664×10-2*","5.17×10-4",
"Auger-L","1.00","2.719×10-3*","2.73×10-3",
"Auger-K","1.55×10-1","1.929×10-2*","2.99×10-3",

