"γ1","2.11×10-2","1.560×10-1","3.29×10-3",
"ce-K, γ1","6.57×10-1","1.268×10-1","8.33×10-2",
"ce-L, γ1","2.65×10-1","1.515×10-1a","4.01×10-2",
"ce-M, γ1","5.79×10-2","1.551×10-1a","8.98×10-3",
"ce-N, γ1","1.05×10-2","1.558×10-1a","1.64×10-3",
"ce-O, γ1","5.45×10-4","1.560×10-1a","8.50×10-5",
"γ2","8.64×10-1","1.585×10-1","1.36×10-1",
"ce-K, γ2","1.16×10-1","1.293×10-1","1.50×10-2",
"ce-L, γ2","1.47×10-2","1.540×10-1a","2.26×10-3",
"ce-M, γ2","2.88×10-3","1.576×10-1a","4.55×10-4",
"ce-N, γ2","5.42×10-4","1.584×10-1a","8.59×10-5",
"ce-O, γ2","4.70×10-5","1.585×10-1a","7.46×10-6",
"γ3","4.23×10-6","3.143×10-1","1.33×10-6",
"ce-K, γ3","4.04×10-6","2.850×10-1","1.15×10-6",
"ce-L, γ3","2.67×10-6","3.098×10-1a","8.30×10-7",
"ce-M, γ3","5.74×10-7","3.134×10-1a","1.80×10-7",
"ce-N, γ3","1.01×10-7","3.141×10-1a","3.17×10-8",
"ce-O, γ3","4.36×10-9","3.142×10-1a","1.37×10-9",
"L X-ray","7.41×10-2","3.440×10-3*","2.55×10-4",
"Kα2 X-ray","1.91×10-1","2.504×10-2","4.78×10-3",
"Kα1 X-ray","3.53×10-1","2.527×10-2","8.93×10-3",
"Kβ3 X-ray","3.21×10-2","2.844×10-2*","9.13×10-4",
"Kβ1 X-ray","6.18×10-2","2.848×10-2*","1.76×10-3",
"Kβ2 X-ray","1.69×10-2","2.911×10-2*","4.93×10-4",
"Auger-L","9.28×10-1","2.950×10-3*","2.73×10-3",
"Auger-K","1.08×10-1","2.099×10-2*","2.27×10-3",

