"β-1","4.80×10-5","7.413×10-2*","3.55×10-6",
"β-2","4.50×10-1","9.826×10-2*","4.42×10-2",
"β-3","5.50×10-1","1.009×10-1*","5.55×10-2",
"γ1","1.70×10-3","8.410×10-3","1.43×10-5",
"ce-M, γ1","3.55×10-1","6.103×10-3a","2.16×10-3",
"ce-N, γ1","8.18×10-2","7.938×10-3a","6.50×10-4",
"ce-O, γ1","1.08×10-2","8.370×10-3a","9.04×10-5",
"γ2","1.30×10-5","1.097×10-1","1.43×10-6",
"ce-K, γ2","2.56×10-5","5.038×10-2","1.29×10-6",
"ce-L, γ2","4.10×10-6","9.966×10-2a","4.08×10-7",
"ce-M, γ2","9.19×10-7","1.074×10-1a","9.88×10-8",
"ce-N, γ2","2.14×10-7","1.093×10-1a","2.34×10-8",
"ce-O, γ2","3.04×10-8","1.097×10-1a","3.34×10-9",
"γ3","1.40×10-6","1.181×10-1","1.65×10-7",
"ce-K, γ3","9.80×10-7","5.879×10-2","5.76×10-8",
"ce-L, γ3","1.01×10-6","1.080×10-1a","1.09×10-7",
"ce-M, γ3","2.46×10-7","1.158×10-1a","2.85×10-8",
"ce-N, γ3","5.60×10-8","1.177×10-1a","6.59×10-9",
"ce-O, γ3","6.54×10-9","1.181×10-1a","7.73×10-10",
"L X-ray","6.21×10-6","7.179×10-3*","4.46×10-8",
"Kα2 X-ray","7.24×10-6","4.977×10-2","3.60×10-7",
"Kα1 X-ray","1.26×10-5","5.074×10-2","6.40×10-7",
"Kβ3 X-ray","1.36×10-6","5.729×10-2*","7.79×10-8",
"Kβ1 X-ray","2.62×10-6","5.750×10-2*","1.51×10-7",
"Kβ2 X-ray","8.84×10-7","5.902×10-2*","5.21×10-8",
"Auger-L","2.11×10-5","5.669×10-3*","1.19×10-7",
"Auger-K","1.46×10-6","4.090×10-2*","5.99×10-8",

