"β-19","5.50×10-3","2.247×10-1*","1.23×10-3",
"β-20","6.30×10-3","2.366×10-1*","1.49×10-3",
"β-22","1.78×10-2","3.159×10-1*","5.62×10-3",
"β-23","3.10×10-3","4.453×10-1*","1.38×10-3",
"β-24","1.26×10-2","5.745×10-1*","7.23×10-3",
"β-25","9.30×10-2","6.976×10-1*","6.48×10-2",
"β-26","8.54×10-1","8.377×10-1*","7.15×10-1",
"γ4","2.50×10-2","2.935×10-1","7.34×10-3",
"γ5","3.48×10-3","3.007×10-1","1.04×10-3",
"γ6","1.31×10-1","3.284×10-1","4.30×10-2",
"ce-K, γ6","6.39×10-3","2.500×10-1","1.59×10-3",
"γ15","3.35×10-3","6.220×10-1","2.08×10-3",
"γ16","1.18×10-2","6.451×10-1","7.61×10-3",
"γ24","5.98×10-3","9.387×10-1","5.61×10-3",
"γ29","5.97×10-3","1.150","6.87×10-3",
"γ32","2.97×10-3","1.183","3.51×10-3",
"γ45","1.86×10-3","1.468","2.73×10-3",
"γ56","6.22×10-4","1.622","1.00×10-3",

