"α1","2.00×10-7","4.895","9.82×10-7",
"α recoil","2.00×10-7","9.280×10-2","1.86×10-8",
"α2","4.18×10-6","4.997","2.08×10-5",
"α recoil","4.18×10-6","9.472×10-2","3.95×10-7",
"α3","1.04×10-5","5.140","5.37×10-5",
"α recoil","1.04×10-5","9.745×10-2","1.01×10-6",
"α4","3.84×10-5","5.210","2.00×10-4",
"α recoil","3.84×10-5","9.876×10-2","3.79×10-6",
"α5","4.18×10-1","5.869","2.45",
"α recoil","4.18×10-1","1.112×10-1","4.65×10-2",
"γ1","5.01×10-7","1.496×10-1","7.50×10-8",
"γ2","3.55×10-7","2.226×10-1","7.91×10-8",
"γ3","3.67×10-5","6.697×10-1","2.46×10-5",
"γ4","1.04×10-5","7.427×10-1","7.76×10-6",
"γ5","1.42×10-6","8.924×10-1","1.26×10-6",
"γ1","2.60×10-3","6.869×10-1","1.79×10-3",
"ce-K, γ1","1.14×10-4","5.938×10-1","6.77×10-5",
"ce-L, γ1","1.95×10-5","6.700×10-1a","1.31×10-5",
"ce-M, γ1","4.61×10-6","6.828×10-1a","3.14×10-6",
"ce-N, γ1","1.18×10-6","6.860×10-1a","8.13×10-7",
"ce-O, γ1","2.48×10-7","6.869×10-1a","1.70×10-7",
"ce-P, γ1","3.21×10-8","6.869×10-1","2.20×10-8",
"L X-ray","1.85×10-1","1.110×10-2*","2.06×10-3",
"Kα2 X-ray","1.24×10-1","7.686×10-2","9.53×10-3",
"Kα1 X-ray","2.06×10-1","7.929×10-2","1.63×10-2",
"Kβ3 X-ray","2.49×10-2","8.925×10-2*","2.22×10-3",
"Kβ1 X-ray","4.79×10-2","8.980×10-2*","4.30×10-3",
"Kβ2 X-ray","1.76×10-2","9.231×10-2*","1.63×10-3",
"Auger-L","2.75×10-1","8.329×10-3*","2.29×10-3",
"Auger-K","1.56×10-2","5.970×10-2*","9.36×10-4",

