"α1","1.80×10-3","5.558","1.00×10-2",
"α2","1.95×10-2","5.875","1.15×10-1",
"α recoil","1.95×10-2","1.103×10-1","2.16×10-3",
"β-8","3.01×10-1","3.199×10-1*","9.63×10-2",
"β-9","2.10×10-3","3.765×10-1*","7.90×10-4",
"β-10","6.68×10-1","4.917×10-1*","3.28×10-1",
"γ2","4.18×10-3","2.927×10-1","1.22×10-3",
"γ4","2.58×10-1","4.404×10-1","1.14×10-1",
"ce-K, γ4","3.36×10-2","3.473×10-1","1.16×10-2",
"ce-L, γ4","6.06×10-3","4.235×10-1a","2.56×10-3",
"γ11","2.88×10-3","8.073×10-1","2.33×10-3",
"Kα2 X-ray","9.64×10-3","7.686×10-2","7.41×10-4",
"Kα1 X-ray","1.60×10-2","7.929×10-2","1.27×10-3",

