"α22","1.75×10-3","5.585","9.83×10-3",
"α23","1.70×10-3","5.600","9.52×10-3",
"α24","2.16×10-3","5.613","1.21×10-2",
"α27","2.06×10-2","5.668","1.16×10-1",
"α29","1.50×10-2","5.692","8.53×10-2",
"α30","3.63×10-2","5.700","2.06×10-1",
"α31","8.30×10-2","5.708","4.73×10-1",
"α recoil","8.30×10-2","1.005×10-1","8.34×10-3",
"α32","4.89×10-2","5.713","2.79×10-1",
"α34","2.04×10-1","5.756","1.17",
"α recoil","2.04×10-1","1.014×10-1","2.06×10-2",
"α35","2.28×10-3","5.762","1.31×10-2",
"α36","3.11×10-3","5.795","1.80×10-2",
"α37","1.27×10-2","5.807","7.37×10-2",
"α38","2.42×10-2","5.866","1.41×10-1",
"α39","1.73×10-3","5.909","1.02×10-2",
"α40","7.75×10-3","5.915","4.58×10-2",
"α41","3.00×10-2","5.959","1.78×10-1",
"α42","2.34×10-1","5.977","1.40",
"α recoil","2.34×10-1","1.053×10-1","2.47×10-2",
"α44","2.90×10-2","6.008","1.74×10-1",
"α45","2.42×10-1","6.038","1.46",
"α recoil","2.42×10-1","1.063×10-1","2.57×10-2",
"γ104","1.29×10-1","2.359×10-1","3.04×10-2",
"γ112","7.00×10-2","2.562×10-1","1.79×10-2",
"γ131","2.20×10-2","2.999×10-1","6.61×10-3",
"γ144","2.94×10-2","3.298×10-1","9.70×10-3",

