"β-1","6.84×10-1","1.425×10-1*","9.75×10-2",
"β-2","3.16×10-1","2.038×10-1*","6.44×10-2",
"γ1","6.82×10-1","1.593×10-1","1.08×10-1",
"ce-K, γ1","2.77×10-3","1.544×10-1","4.28×10-4",
"ce-L, γ1","2.77×10-4","1.588×10-1a","4.40×10-5",
"ce-M, γ1","3.54×10-5","1.593×10-1a","5.64×10-6",
"ce-N, γ1","1.89×10-6","1.593×10-1a","3.02×10-7",
"L X-ray","9.70×10-6","4.499×10-4*","4.36×10-9",
"Kα2 X-ray","1.77×10-4","4.505×10-3","7.99×10-7",
"Kα1 X-ray","3.54×10-4","4.511×10-3","1.60×10-6",
"Kβ1 X-ray","3.93×10-5","4.932×10-3*","1.94×10-7",
"Kβ3 X-ray","1.99×10-5","4.932×10-3*","9.84×10-8",
"Auger-L","4.61×10-3","4.199×10-4*","1.93×10-6",
"Auger-K","2.14×10-3","4.000×10-3*","8.58×10-6",

