"β-1","1.10×10-2","5.099×10-2*","5.61×10-4",
"β-2","5.69×10-1","1.209×10-1*","6.89×10-2",
"β-3","2.20×10-1","1.539×10-1*","3.38×10-2",
"β-4","2.00×10-1","1.889×10-1*","3.77×10-2",
"γ1","7.00×10-2","9.126×10-2","6.38×10-3",
"ce-K, γ1","5.10×10-3","8.160×10-2","4.17×10-4",
"ce-L, γ1","5.32×10-4","9.007×10-2a","4.79×10-5",
"γ2","1.61×10-1","9.331×10-2","1.50×10-2",
"ce-K, γ2","1.20×10-1","8.365×10-2","1.01×10-2",
"ce-L, γ2","1.48×10-2","9.211×10-2a","1.36×10-3",
"γ3","4.87×10-1","1.845×10-1","8.98×10-2",
"ce-K, γ3","7.69×10-3","1.749×10-1","1.34×10-3",
"ce-L, γ3","8.03×10-4","1.833×10-1a","1.47×10-4",
"γ4","1.15×10-3","2.089×10-1","2.40×10-4",
"ce-K, γ4","9.24×10-6","1.992×10-1","1.84×10-6",
"ce-L, γ4","9.43×10-7","2.077×10-1a","1.95×10-7",
"γ5","7.97×10-3","3.002×10-1","2.39×10-3",
"γ6","2.20×10-3","3.935×10-1","8.65×10-4",
"L X-ray","2.08×10-3","1.010×10-3*","2.11×10-6",
"Kα2 X-ray","1.91×10-2","8.616×10-3","1.64×10-4",
"Kα1 X-ray","3.74×10-2","8.639×10-3","3.23×10-4",
"Kβ1 X-ray","4.53×10-3","9.571×10-3*","4.33×10-5",
"Kβ3 X-ray","2.32×10-3","9.571×10-3*","2.22×10-5",
"Auger-L","1.91×10-1","9.899×10-4*","1.89×10-4",
"Auger-K","6.87×10-2","7.530×10-3*","5.17×10-4",

