"γ1","3.11×10-2","9.126×10-2","2.83×10-3",
"γ2","3.88×10-1","9.330×10-2","3.62×10-2",
"ce-K, γ2","2.91×10-1","8.365×10-2","2.43×10-2",
"ce-L, γ2","3.57×10-2","9.211×10-2a","3.28×10-3",
"γ3","2.14×10-1","1.845×10-1","3.95×10-2",
"ce-K, γ3","3.38×10-3","1.749×10-1","5.91×10-4",
"γ4","2.46×10-2","2.089×10-1","5.14×10-3",
"γ5","1.66×10-1","3.002×10-1","4.99×10-2",
"γ6","4.56×10-2","3.935×10-1","1.79×10-2",
"γ7","6.84×10-4","4.941×10-1","3.38×10-4",
"γ9","5.40×10-4","7.943×10-1","4.28×10-4",
"γ10","1.48×10-3","8.876×10-1","1.31×10-3",
"Kα2 X-ray","1.68×10-1","8.616×10-3","1.45×10-3",
"Kα1 X-ray","3.30×10-1","8.639×10-3","2.85×10-3",
"Kβ1 X-ray","4.00×10-2","9.571×10-3*","3.83×10-4",
"Kβ3 X-ray","2.05×10-2","9.571×10-3*","1.96×10-4",
"Auger-L","1.68","9.899×10-4*","1.66×10-3",
"Auger-K","6.07×10-1","7.530×10-3*","4.57×10-3",

