"β-13","1.00","3.598×10-1*","3.59×10-1",
"γ2","3.66×10-2","8.803×10-2","3.22×10-3",
"ce-K, γ2","4.18×10-1","6.251×10-2","2.61×10-2",
"ce-L, γ2","4.42×10-1","8.422×10-2a","3.72×10-2",
"ce-M, γ2","9.05×10-2","8.731×10-2a","7.90×10-3",
"ce-N, γ2","1.41×10-2","8.793×10-2a","1.24×10-3",
"Kα2 X-ray","1.01×10-1","2.198×10-2","2.22×10-3",
"Kα1 X-ray","1.90×10-1","2.216×10-2","4.22×10-3",
"Kβ1 X-ray","3.14×10-2","2.494×10-2*","7.84×10-4",
"Auger-L","7.96×10-1","2.609×10-3*","2.07×10-3",
"Auger-K","7.07×10-2","1.850×10-2*","1.30×10-3",

