"β-2","2.19×10-2","5.739×10-2*","1.25×10-3",
"β-6","1.52×10-1","1.058×10-1*","1.61×10-2",
"β-7","8.19×10-3","1.196×10-1*","9.80×10-4",
"β-8","6.20×10-3","1.464×10-1*","9.08×10-4",
"β-9","8.10×10-1","2.637×10-1*","2.13×10-1",
"β-10","1.50×10-3","2.992×10-1*","4.48×10-4",
"γ3","2.88×10-1","9.110×10-2","2.63×10-2",
"ce-K, γ3","4.95×10-1","4.592×10-2","2.27×10-2",
"ce-L, γ3","7.19×10-2","8.367×10-2a","6.02×10-3",
"ce-M, γ3","1.54×10-2","8.945×10-2a","1.38×10-3",
"γ4","3.69×10-3","1.204×10-1","4.44×10-4",
"γ12","7.91×10-3","2.753×10-1","2.17×10-3",
"γ13","1.96×10-2","3.194×10-1","6.28×10-3",
"γ14","8.67×10-3","3.981×10-1","3.45×10-3",
"γ16","1.07×10-3","4.105×10-1","4.39×10-4",
"γ17","1.20×10-2","4.398×10-1","5.29×10-3",
"γ18","1.42×10-3","4.892×10-1","6.94×10-4",
"γ19","1.31×10-1","5.310×10-1","6.96×10-2",
"ce-K, γ19","1.80×10-3","4.858×10-1","8.76×10-4",
"γ22","2.42×10-3","5.947×10-1","1.44×10-3",
"γ24","8.22×10-3","6.858×10-1","5.64×10-3",
"Kα2 X-ray","1.32×10-1","3.817×10-2","5.04×10-3",
"Kα1 X-ray","2.37×10-1","3.872×10-2","9.20×10-3",
"Kβ3 X-ray","2.35×10-2","4.371×10-2*","1.03×10-3",
"Kβ1 X-ray","4.56×10-2","4.382×10-2*","2.00×10-3",
"Kβ2 X-ray","1.43×10-2","4.494×10-2*","6.46×10-4",
"Auger-L","4.31×10-1","4.380×10-3*","1.88×10-3",
"Auger-K","3.92×10-2","3.150×10-2*","1.23×10-3",

