"α2","1.67×10-1","3.967","6.62×10-1",
"α recoil","1.67×10-1","1.064×10-1","1.77×10-2",
"β+16","3.95×10-2","6.392×10-1*","2.52×10-2",
"β+20","7.40×10-3","7.189×10-1*","5.32×10-3",
"β+21","1.00×10-2","8.127×10-1*","8.13×10-3",
"β+22","6.80×10-3","1.022*","6.95×10-3",
"β+23","3.50×10-3","1.108*","3.88×10-3",
"γ±","1.42×10-1","5.109×10-1","7.26×10-2",
"γ3","2.67×10-1","1.649×10-1","4.40×10-2",
"ce-K, γ3","9.34×10-2","1.147×10-1","1.07×10-2",
"ce-L, γ3","2.27×10-2","1.566×10-1a","3.56×10-3",
"γ4","4.36×10-2","1.872×10-1","8.16×10-3",
"γ12","2.98×10-1","3.522×10-1","1.04×10-1",
"ce-K, γ12","8.67×10-3","3.020×10-1","2.61×10-3",
"γ14","1.86×10-1","3.885×10-1","7.22×10-2",
"ce-K, γ14","7.49×10-3","3.383×10-1","2.53×10-3",
"γ21","5.73×10-2","4.648×10-1","2.66×10-2",
"γ33","6.20×10-3","6.480×10-1","4.01×10-3",
"γ34","1.65×10-1","6.521×10-1","1.07×10-1",
"γ37","6.89×10-3","6.746×10-1","4.64×10-3",
"γ43","4.03×10-3","7.401×10-1","2.98×10-3",
"γ44","3.03×10-3","7.459×10-1","2.26×10-3",
"γ45","1.63×10-2","7.726×10-1","1.25×10-2",
"γ53","1.18×10-1","8.170×10-1","9.64×10-2",
"γ57","1.57×10-1","8.534×10-1","1.33×10-1",
"γ59","7.60×10-2","8.618×10-1","6.55×10-2",
"γ64","4.69×10-3","9.557×10-1","4.49×10-3",
"γ66","5.40×10-3","9.656×10-1","5.21×10-3",
"γ67","5.00×10-3","9.790×10-1","4.89×10-3",
"γ71","2.86×10-3","1.002","2.86×10-3",
"γ74","2.50×10-3","1.033","2.58×10-3",
"γ75","1.48×10-2","1.040","1.54×10-2",
"γ87","8.00×10-3","1.131","9.05×10-3",
"γ88","1.20×10-2","1.135","1.36×10-2",
"γ91","3.00×10-3","1.144","3.43×10-3",
"γ92","4.89×10-3","1.167","5.71×10-3",
"γ93","3.30×10-2","1.175","3.89×10-2",
"γ94","1.90×10-3","1.175","2.23×10-3",
"γ97","3.80×10-3","1.191","4.52×10-3",
"γ98","3.80×10-3","1.205","4.57×10-3",
"γ107","8.10×10-3","1.302","1.05×10-2",
"γ112","2.33×10-2","1.341","3.12×10-2",
"γ118","3.76×10-3","1.379","5.18×10-3",
"γ124","4.40×10-3","1.402","6.17×10-3",
"γ129","9.50×10-3","1.449","1.37×10-2",
"γ133","2.40×10-3","1.483","3.56×10-3",
"γ135","1.80×10-3","1.490","2.68×10-3",
"γ149","1.70×10-3","1.585","2.69×10-3",
"γ154","3.21×10-2","1.640","5.28×10-2",
"γ158","1.88×10-3","1.656","3.11×10-3",
"γ161","1.61×10-3","1.679","2.70×10-3",
"γ176","2.24×10-3","1.782","3.99×10-3",
"γ180","1.43×10-3","1.798","2.57×10-3",
"γ183","4.50×10-3","1.805","8.12×10-3",
"γ187","1.11×10-2","1.827","2.02×10-2",
"γ193","2.68×10-3","1.874","5.02×10-3",
"γ199","2.24×10-3","1.909","4.27×10-3",
"γ206","3.10×10-3","1.940","6.01×10-3",
"γ208","4.11×10-3","1.948","8.02×10-3",
"γ211","1.61×10-3","1.972","3.17×10-3",
"γ218","7.90×10-3","2.007","1.58×10-2",
"γ222","1.70×10-3","2.034","3.45×10-3",
"γ232","1.25×10-3","2.130","2.66×10-3",
"γ234","1.07×10-3","2.135","2.28×10-3",
"γ240","4.30×10-3","2.182","9.38×10-3",
"γ248","1.51×10-3","2.237","3.40×10-3",
"γ250","1.51×10-3","2.246","3.41×10-3",
"γ252","1.43×10-3","2.260","3.23×10-3",
"γ254","3.80×10-3","2.282","8.67×10-3",
"γ261","9.79×10-4","2.404","2.35×10-3",
"γ268","1.16×10-3","2.448","2.83×10-3",
"γ271","9.79×10-4","2.472","2.42×10-3",
"γ273","9.79×10-4","2.496","2.44×10-3",
"γ278","2.94×10-3","2.560","7.55×10-3",
"γ281","2.05×10-3","2.647","5.45×10-3",
"γ284","1.34×10-3","2.669","3.57×10-3",
"γ288","1.34×10-3","2.771","3.71×10-3",
"γ292","8.10×10-4","2.823","2.28×10-3",
"γ297","8.10×10-4","2.855","2.31×10-3",
"γ303","9.79×10-4","2.935","2.87×10-3",
"γ306","8.30×10-3","2.961","2.45×10-2",
"γ309","8.90×10-4","3.010","2.67×10-3",
"γ324","2.24×10-3","3.200","7.16×10-3",
"γ330","8.10×10-4","3.308","2.67×10-3",
"Kα2 X-ray","2.03×10-1","4.230×10-2","8.60×10-3",
"Kα1 X-ray","3.63×10-1","4.299×10-2","1.56×10-2",
"Kβ1 X-ray","7.11×10-2","4.869×10-2*","3.46×10-3",
"Auger-L","6.39×10-1","4.840×10-3*","3.09×10-3",

