"β-6","2.57×10-1","1.376×10-1*","3.53×10-2",
"β-7","6.50×10-1","1.573×10-1*","1.02×10-1",
"β-8","5.00×10-2","1.746×10-1*","8.72×10-3",
"β-9","5.00×10-2","1.836×10-1*","9.18×10-3",
"γ2","2.31×10-1","2.565×10-2","5.93×10-3",
"ce-L, γ2","4.14×10-1","1.660×10-2a","6.88×10-3",
"ce-M, γ2","9.23×10-2","2.360×10-2a","2.18×10-3",
"ce-N, γ2","2.03×10-2","2.523×10-2a","5.13×10-4",
"γ5","1.70×10-1","4.891×10-2","8.33×10-3",
"ce-L, γ5","4.24×10-1","3.986×10-2a","1.69×10-2",
"ce-M, γ5","9.36×10-2","4.686×10-2a","4.39×10-3",
"ce-N, γ5","2.16×10-2","4.849×10-2a","1.04×10-3",
"γ7","1.78×10-2","5.719×10-2","1.02×10-3",
"ce-K, γ7","1.74×10-1","3.403×10-3","5.94×10-4",
"ce-L, γ7","3.62×10-2","4.814×10-2a","1.74×10-3",
"ce-M, γ7","8.19×10-3","5.514×10-2a","4.51×10-4",
"γ9","1.02×10-1","7.456×10-2","7.60×10-3",
"ce-K, γ9","5.67×10-2","2.077×10-2","1.17×10-3",
"ce-L, γ9","9.27×10-3","6.552×10-2a","6.07×10-4",
"L X-ray","2.14×10-1","6.500×10-3*","1.39×10-3",
"Kα2 X-ray","6.31×10-2","4.520×10-2","2.85×10-3",
"Kα1 X-ray","1.11×10-1","4.598×10-2","5.14×10-3",
"Kβ3 X-ray","1.16×10-2","5.194×10-2*","6.05×10-4",
"Kβ1 X-ray","2.25×10-2","5.211×10-2*","1.17×10-3",
"Kβ2 X-ray","7.53×10-3","5.347×10-2*","4.02×10-4",
"Auger-L","8.79×10-1","5.159×10-3*","4.53×10-3",
"Auger-K","1.45×10-2","3.720×10-2*","5.43×10-4",

