"ce-M, γ1","7.48×10-1","6.103×10-3a","4.56×10-3",
"ce-N, γ1","1.72×10-1","7.938×10-3a","1.37×10-3",
"ce-L, γ2","8.46×10-2","1.063×10-2a","9.00×10-4",
"γ10","1.07×10-2","6.300×10-2","6.79×10-4",
"γ11","4.36×10-1","6.312×10-2","2.75×10-2",
"ce-K, γ11","3.89×10-1","3.730×10-3","1.45×10-3",
"ce-L, γ11","7.02×10-2","5.300×10-2a","3.72×10-3",
"ce-M, γ11","1.57×10-2","6.081×10-2a","9.54×10-4",
"γ16","2.57×10-2","9.361×10-2","2.41×10-3",
"ce-K, γ16","7.91×10-2","3.422×10-2","2.71×10-3",
"ce-L, γ16","1.36×10-2","8.349×10-2a","1.13×10-3",
"γ23","1.73×10-1","1.097×10-1","1.90×10-2",
"ce-K, γ23","3.42×10-1","5.038×10-2","1.72×10-2",
"ce-L, γ23","5.45×10-2","9.966×10-2a","5.44×10-3",
"ce-M, γ23","1.22×10-2","1.074×10-1a","1.31×10-3",
"γ29","1.87×10-2","1.181×10-1","2.21×10-3",
"ce-K, γ29","1.31×10-2","5.879×10-2","7.72×10-4",
"ce-L, γ29","1.35×10-2","1.080×10-1a","1.46×10-3",
"γ31","1.13×10-1","1.305×10-1","1.48×10-2",
"ce-K, γ31","6.15×10-2","7.113×10-2","4.38×10-3",
"ce-L, γ31","5.25×10-2","1.204×10-1a","6.33×10-3",
"ce-M, γ31","1.27×10-2","1.282×10-1a","1.64×10-3",
"γ37","2.22×10-1","1.772×10-1","3.94×10-2",
"ce-K, γ37","1.09×10-1","1.178×10-1","1.28×10-2",
"ce-L, γ37","1.80×10-2","1.670×10-1a","3.01×10-3",
"ce-M, γ37","4.05×10-3","1.749×10-1a","7.09×10-4",
"γ39","3.59×10-1","1.979×10-1","7.11×10-2",
"ce-K, γ39","1.28×10-1","1.385×10-1","1.78×10-2",
"ce-L, γ39","2.10×10-2","1.878×10-1a","3.95×10-3",
"ce-M, γ39","4.73×10-3","1.956×10-1a","9.26×10-4",
"γ46","1.67×10-2","2.610×10-1","4.38×10-3",
"γ51","2.51×10-3","3.075×10-1","7.73×10-4",
"γ52","1.00×10-1","3.077×10-1","3.09×10-2",
"ce-K, γ52","4.83×10-3","2.483×10-1","1.20×10-3",
"L X-ray","4.75×10-1","7.179×10-3*","3.41×10-3",
"Kα2 X-ray","5.25×10-1","4.977×10-2","2.61×10-2",
"Kα1 X-ray","9.15×10-1","5.074×10-2","4.64×10-2",
"Kβ3 X-ray","9.87×10-2","5.729×10-2*","5.65×10-3",
"Kβ1 X-ray","1.90×10-1","5.750×10-2*","1.09×10-2",
"Kβ2 X-ray","6.41×10-2","5.902×10-2*","3.78×10-3",
"Auger-L","1.61","5.669×10-3*","9.17×10-3",
"Auger-K","1.06×10-1","4.090×10-2*","4.34×10-3",

