"β-3","2.14×10-1","3.073×10-1*","6.60×10-2",
"β-4","7.09×10-1","3.605×10-1*","2.55×10-1",
"γ1","9.47×10-2","1.371×10-1","1.29×10-2",
"ce-K, γ1","4.11×10-2","6.327×10-2","2.60×10-3",
"ce-L, γ1","5.98×10-2","1.241×10-1a","7.43×10-3",
"ce-M, γ1","1.52×10-2","1.341×10-1a","2.04×10-3",
"ce-N, γ1","3.65×10-3","1.364×10-1a","4.98×10-4",
"Kα2 X-ray","1.12×10-2","6.148×10-2","6.92×10-4",
"Kα1 X-ray","1.91×10-2","6.300×10-2","1.20×10-3",
"Auger-L","6.47×10-2","6.880×10-3*","4.45×10-4",
"γ1","6.02×10-3","1.226×10-1","7.39×10-4",
"ce-L, γ1","5.40×10-3","1.105×10-1a","5.97×10-4",
"Kα2 X-ray","1.72×10-2","5.798×10-2","9.99×10-4",
"Kα1 X-ray","2.95×10-2","5.931×10-2","1.75×10-3",
"Kβ1 X-ray","6.48×10-3","6.724×10-2*","4.35×10-4",

