"β-1","9.86×10-3","7.953×10-2*","7.84×10-4",
"β-2","9.89×10-1","3.147×10-1*","3.11×10-1",
"β-3","2.50×10-4","4.673×10-1*","1.16×10-4",
"γ1","9.56×10-1","4.118×10-1","3.93×10-1",
"ce-K, γ1","2.86×10-2","3.286×10-1","9.42×10-3",
"ce-L, γ1","1.00×10-2","3.969×10-1a","4.00×10-3",
"ce-M, γ1","2.51×10-3","4.082×10-1a","1.02×10-3",
"γ2","8.05×10-3","6.758×10-1","5.44×10-3",
"ce-K, γ2","1.73×10-4","5.927×10-1","1.03×10-4",
"ce-L, γ2","3.13×10-5","6.610×10-1a","2.07×10-5",
"ce-M, γ2","7.32×10-6","6.723×10-1a","4.92×10-6",
"γ3","1.58×10-3","1.087","1.72×10-3",
"ce-K, γ3","6.57×10-6","1.004","6.60×10-6",
"ce-L, γ3","1.19×10-6","1.072a","1.28×10-6",
"ce-M, γ3","2.80×10-7","1.084a","3.04×10-7",
"L X-ray","1.19×10-2","9.990×10-3*","1.19×10-4",
"Kα2 X-ray","7.93×10-3","6.889×10-2","5.46×10-4",
"Kα1 X-ray","1.33×10-2","7.081×10-2","9.46×10-4",
"Kβ3 X-ray","1.61×10-3","7.982×10-2*","1.28×10-4",
"Kβ1 X-ray","3.08×10-3","8.022×10-2*","2.47×10-4",
"Kβ2 X-ray","1.11×10-3","8.247×10-2*","9.21×10-5",
"Auger-L","2.16×10-2","7.600×10-3*","1.64×10-4",
"Auger-K","1.09×10-3","5.379×10-2*","5.90×10-5",

