"β+1","1.74×10-1","2.780×10-1*","4.86×10-2",
"γ±","3.49×10-1","5.109×10-1","1.78×10-1",
"γ1","4.72×10-3","1.345","6.35×10-3",
"ce-K, γ1","5.25×10-7","1.337","7.02×10-7",
"ce-L, γ1","5.12×10-8","1.344a","6.88×10-8",
"ce-M, γ1","7.21×10-9","1.345a","9.70×10-9",
"ce-N, γ1","3.11×10-10","1.345a","4.18×10-10",
"L X-ray","4.91×10-3","8.500×10-4*","4.17×10-6",
"Kα2 X-ray","4.76×10-2","7.460×10-3","3.55×10-4",
"Kα1 X-ray","9.37×10-2","7.478×10-3","7.01×10-4",
"Kβ1 X-ray","1.12×10-2","8.265×10-3*","9.29×10-5",
"Kβ3 X-ray","5.78×10-3","8.265×10-3*","4.77×10-5",
"Auger-L","5.79×10-1","8.399×10-4*","4.86×10-4",
"Auger-K","2.26×10-1","6.539×10-3*","1.47×10-3",
"β-1","3.84×10-1","1.907×10-1*","7.33×10-2",

