"β-1","9.64×10-5","1.912×10-1*","1.84×10-5",
"β-2","9.99×10-1","5.870×10-1*","5.87×10-1",
"γ1","9.56×10-5","9.089×10-1","8.68×10-5",
"ce-K, γ1","7.10×10-7","8.919×10-1","6.33×10-7",
"ce-L, γ1","8.66×10-8","9.065×10-1a","7.85×10-8",
"ce-M, γ1","1.49×10-8","9.085×10-1a","1.35×10-8",
"ce-N, γ1","1.99×10-9","9.089×10-1a","1.81×10-9",
"L X-ray","2.46×10-8","1.919×10-3*","4.74×10-11",
"Kα2 X-ray","1.48×10-7","1.488×10-2","2.20×10-9",
"Kα1 X-ray","2.84×10-7","1.495×10-2","4.26×10-9",
"Kβ3 X-ray","2.15×10-8","1.672×10-2*","3.61×10-10",
"Kβ1 X-ray","4.18×10-8","1.673×10-2*","7.00×10-10",
"Kβ2 X-ray","8.02×10-9","1.701×10-2*","1.36×10-10",
"Auger-L","8.29×10-7","1.909×10-3*","1.58×10-9",
"Auger-K","2.01×10-7","1.269×10-2*","2.56×10-9",

